permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
twitter,Twitter,17,web,San Francisco,CA,2007-07-01 12:00:00 -0400,5400000,USD,b
twitter,Twitter,17,web,San Francisco,CA,2008-05-01 12:00:00 -0400,15000000,USD,c
stumbleupon,StumbleUpon,,web,San Francisco,CA,2005-12-01 12:00:00 -0500,1500000,USD,seed
gizmoz,Gizmoz,,web,Menlo Park,CA,2007-05-01 12:00:00 -0400,6300000,USD,a
gizmoz,Gizmoz,,web,Menlo Park,CA,2008-03-16 12:00:00 -0400,6500000,USD,b
scribd,Scribd,14,web,San Francisco,CA,2006-06-01 12:00:00 -0400,12000,USD,seed
scribd,Scribd,14,web,San Francisco,CA,2007-01-01 12:00:00 -0500,40000,USD,angel
scribd,Scribd,14,web,San Francisco,CA,2007-06-01 12:00:00 -0400,3710000,USD,a
slacker,Slacker,,web,San Diego,CA,2007-06-01 12:00:00 -0400,40000000,USD,b
slacker,Slacker,,web,San Diego,CA,2007-06-01 12:00:00 -0400,13500000,USD,a
lala,Lala,,web,Palo Alto,CA,2007-05-01 12:00:00 -0400,9000000,USD,a
plaxo,Plaxo,50,web,Mountain View,CA,2002-11-01 12:00:00 -0500,3800000,USD,a
plaxo,Plaxo,50,web,Mountain View,CA,2003-07-01 12:00:00 -0400,8500000,USD,b
plaxo,Plaxo,50,web,Mountain View,CA,2004-04-01 12:00:00 -0500,7000000,USD,c
plaxo,Plaxo,50,web,Mountain View,CA,2007-02-01 12:00:00 -0500,9000000,USD,d
powerset,Powerset,60,web,San Francisco,CA,2007-06-01 12:00:00 -0400,12500000,USD,a
technorati,Technorati,25,web,San Francisco,CA,2006-06-01 12:00:00 -0400,10520000,USD,c
technorati,Technorati,25,web,San Francisco,CA,2004-09-01 12:00:00 -0400,6500000,USD,b
technorati,Technorati,25,web,San Francisco,CA,2008-06-13 12:00:00 -0400,7500000,USD,d
technorati,Technorati,25,web,San Francisco,CA,2007-05-10 12:00:00 -0400,1000000,USD,c
mahalo,Mahalo,40,web,Santa Monica,CA,2006-01-01 12:00:00 -0500,5000000,USD,a
mahalo,Mahalo,40,web,Santa Monica,CA,2007-01-01 12:00:00 -0500,16000000,USD,b
kyte,Kyte,40,web,San Francisco,CA,2007-07-01 12:00:00 -0400,2250000,USD,a
kyte,Kyte,40,web,San Francisco,CA,2007-12-01 12:00:00 -0500,15000000,USD,b
kyte,Kyte,40,web,San Francisco,CA,2008-03-10 12:00:00 -0400,6100000,USD,b
veoh,Veoh,,web,San Diego,CA,2006-04-01 12:00:00 -0500,12500000,USD,b
veoh,Veoh,,web,San Diego,CA,2007-08-01 12:00:00 -0400,25000000,USD,c
veoh,Veoh,,web,San Diego,CA,2005-07-01 12:00:00 -0400,2250000,USD,a
veoh,Veoh,,web,San Diego,CA,2008-06-03 12:00:00 -0400,30000000,USD,d
jingle-networks,Jingle Networks,,web,Menlo Park,CA,2006-10-01 12:00:00 -0400,30000000,USD,c
jingle-networks,Jingle Networks,,web,Menlo Park,CA,2005-12-01 12:00:00 -0500,5000000,USD,a
jingle-networks,Jingle Networks,,web,Menlo Park,CA,2006-04-01 12:00:00 -0500,26000000,USD,b
jingle-networks,Jingle Networks,,web,Menlo Park,CA,2005-10-01 12:00:00 -0400,400000,USD,angel
jingle-networks,Jingle Networks,,web,Menlo Park,CA,2008-01-01 12:00:00 -0500,13000000,USD,c
ning,Ning,41,web,Palo Alto,CA,2007-07-01 12:00:00 -0400,44000000,USD,c
ning,Ning,41,web,Palo Alto,CA,2008-04-01 12:00:00 -0400,60000000,USD,d
jotspot,JotSpot,,web,Palo Alto,CA,2004-08-01 12:00:00 -0400,5200000,USD,a
mercora,Mercora,,web,Sunnyvale,CA,2005-01-01 12:00:00 -0500,5000000,USD,a
wesabe,Wesabe,,web,San Francisco,CA,2007-02-01 12:00:00 -0500,700000,USD,seed
wesabe,Wesabe,,web,San Francisco,CA,2007-06-01 12:00:00 -0400,4000000,USD,a
jangl,Jangl,22,web,Pleasanton,CA,2006-07-01 12:00:00 -0400,7000000,USD,b
hyphen8,Hyphen 8,4,web,San Francisco,CA,2007-10-01 12:00:00 -0400,100000,USD,angel
prosper,Prosper,,web,San Francisco,CA,2007-06-01 12:00:00 -0400,20000000,USD,c
prosper,Prosper,,web,San Francisco,CA,2005-04-01 12:00:00 -0500,7500000,USD,a
prosper,Prosper,,web,San Francisco,CA,2006-02-01 12:00:00 -0500,12500000,USD,b
google,Google,20000,web,Mountain View,CA,1999-06-01 12:00:00 -0400,25000000,USD,a
jajah,Jajah,80,web,Mountain View,CA,2007-05-01 12:00:00 -0400,20000000,USD,c
jajah,Jajah,80,web,Mountain View,CA,2006-03-01 12:00:00 -0500,3000000,USD,a
jajah,Jajah,80,web,Mountain View,CA,2006-04-01 12:00:00 -0500,5000000,USD,b
youtube,YouTube,,web,San Bruno,CA,2005-11-01 12:00:00 -0500,3500000,USD,a
youtube,YouTube,,web,San Bruno,CA,2006-04-01 12:00:00 -0500,8000000,USD,b
ustream,Ustream,,web,Mountain View,CA,2007-12-01 12:00:00 -0500,2000000,USD,angel
ustream,Ustream,,web,Mountain View,CA,2008-04-10 12:00:00 -0400,11100000,USD,a
gizmoproject,GizmoProject,,web,San Diego,CA,2006-02-01 12:00:00 -0500,6000000,USD,a
adap-tv,Adap.tv,15,web,San Mateo,CA,2007-07-01 12:00:00 -0400,10000000,USD,a
topix,Topix,,web,Palo Alto,CA,2006-11-01 12:00:00 -0500,15000000,USD,b
revision3,Revision3,,web,San Francisco,CA,2006-09-01 12:00:00 -0400,1000000,USD,a
revision3,Revision3,,web,San Francisco,CA,2007-06-01 12:00:00 -0400,8000000,USD,b
aggregateknowledge,Aggregate Knowledge,,web,San Mateo,CA,2006-06-01 12:00:00 -0400,5000000,USD,a
aggregateknowledge,Aggregate Knowledge,,web,San Mateo,CA,2007-04-01 12:00:00 -0400,20000000,USD,b
sugarinc,Sugar Inc,,web,San Francisco,CA,2006-10-01 12:00:00 -0400,5000000,USD,a
sugarinc,Sugar Inc,,web,San Francisco,CA,2007-06-01 12:00:00 -0400,10000000,USD,b
zing,Zing,,web,Mountain View,CA,2007-01-01 12:00:00 -0500,13000000,USD,a
criticalmetrics,CriticalMetrics,4,web,,CA,2007-01-01 12:00:00 -0500,100000,USD,angel
spock,Spock,30,web,Redwood City,CA,2006-12-01 12:00:00 -0500,7000000,USD,a
wize,Wize,,web,,CA,2007-01-01 12:00:00 -0500,4000000,USD,a
sodahead,SodaHead,,web,,CA,2007-01-01 12:00:00 -0500,4250000,USD,a
sodahead,SodaHead,,web,,CA,2008-06-25 12:00:00 -0400,8400000,USD,b
casttv,CastTV,0,web,San Francisco,CA,2007-04-01 12:00:00 -0400,3100000,USD,a
buzznet,BuzzNet,,web,Hollywood,CA,2007-05-01 12:00:00 -0400,6000000,USD,a
buzznet,BuzzNet,,web,Hollywood,CA,2008-04-07 12:00:00 -0400,25000000,USD,b
funny-or-die,Funny Or Die,,web,Palo Alto,CA,2007-12-01 12:00:00 -0500,15000000,USD,b
sphere,Sphere,11,web,San Francisco,CA,2006-05-01 12:00:00 -0400,3000000,USD,b
sphere,Sphere,11,web,San Francisco,CA,2005-04-01 12:00:00 -0500,500000,USD,a
meevee,MeeVee,,web,Burlingame,CA,2006-02-01 12:00:00 -0500,6500000,USD,b
meevee,MeeVee,,web,Burlingame,CA,2006-08-01 12:00:00 -0400,8000000,USD,c
meevee,MeeVee,,web,Burlingame,CA,2005-02-01 12:00:00 -0500,7000000,USD,a
meevee,MeeVee,,web,Burlingame,CA,2007-09-01 12:00:00 -0400,3500000,USD,d
mashery,Mashery,0,web,San Francisco,CA,2008-06-26 12:00:00 -0400,2000000,USD,c
yelp,Yelp,,web,San Francisco,CA,2006-10-01 12:00:00 -0400,10000000,USD,c
yelp,Yelp,,web,San Francisco,CA,2005-10-01 12:00:00 -0400,5000000,USD,b
yelp,Yelp,,web,San Francisco,CA,2004-07-01 12:00:00 -0400,1000000,USD,a
yelp,Yelp,,web,San Francisco,CA,2008-02-26 12:00:00 -0500,15000000,USD,d
spotplex,Spotplex,3,web,Santa Clara,CA,2007-01-01 12:00:00 -0500,450000,USD,angel
coghead,Coghead,21,web,Redwood City,CA,2006-03-01 12:00:00 -0500,3200000,USD,a
coghead,Coghead,21,web,Redwood City,CA,2007-03-01 12:00:00 -0500,8000000,USD,b
zooomr,Zooomr,,web,San Francisco,CA,2006-02-01 12:00:00 -0500,50000,USD,angel
sidestep,SideStep,75,web,Santa Clara,CA,2007-02-01 12:00:00 -0500,15000000,USD,c
sidestep,SideStep,75,web,Santa Clara,CA,2004-01-01 12:00:00 -0500,8000000,USD,b
sidestep,SideStep,75,web,Santa Clara,CA,1999-12-01 12:00:00 -0500,2200000,USD,a
sidestep,SideStep,75,web,Santa Clara,CA,"",6800000,USD,a
rockyou,RockYou,,web,San Mateo,CA,2007-01-01 12:00:00 -0500,1500000,USD,a
rockyou,RockYou,,web,San Mateo,CA,2007-03-01 12:00:00 -0500,15000000,USD,b
rockyou,RockYou,,web,San Mateo,CA,2008-06-09 12:00:00 -0400,35000000,USD,c
rockyou,RockYou,,web,San Mateo,CA,2008-05-27 12:00:00 -0400,1000000,USD,unattributed
pageflakes,Pageflakes,20,web,San Francisco,CA,2006-05-01 12:00:00 -0400,1300000,USD,a
swivel,Swivel,,web,San Francisco,CA,2006-09-01 12:00:00 -0400,1000000,USD,a
swivel,Swivel,,web,San Francisco,CA,2007-04-01 12:00:00 -0400,1000000,USD,a
slide,Slide,64,web,San Francisco,CA,2005-07-01 12:00:00 -0400,8000000,USD,b
slide,Slide,64,web,San Francisco,CA,2008-01-01 12:00:00 -0500,50000000,USD,d
bebo,Bebo,,web,San Francisco,CA,2006-05-01 12:00:00 -0400,15000000,USD,a
freebase,freebase,,web,San Francisco,CA,2006-03-01 12:00:00 -0500,15000000,USD,a
freebase,freebase,,web,San Francisco,CA,2008-01-01 12:00:00 -0500,42500000,USD,b
metawebtechnologies,Metaweb Technologies,,web,San Francisco,CA,2008-01-15 12:00:00 -0500,42000000,USD,b
glammedia,Glam Media,,web,Brisbane,CA,2004-07-01 12:00:00 -0400,1100000,USD,a
glammedia,Glam Media,,web,Brisbane,CA,2005-07-01 12:00:00 -0400,10000000,USD,b
glammedia,Glam Media,,web,Brisbane,CA,2006-12-01 12:00:00 -0500,18500000,USD,c
glammedia,Glam Media,,web,Brisbane,CA,2008-02-01 12:00:00 -0500,65000000,USD,d
glammedia,Glam Media,,web,Brisbane,CA,2008-02-01 12:00:00 -0500,20000000,USD,d
thefind,TheFind,,web,Mountain View,CA,2005-02-01 12:00:00 -0500,7000000,USD,a
thefind,TheFind,,web,Mountain View,CA,2006-10-01 12:00:00 -0400,4000000,USD,b
thefind,TheFind,,web,Mountain View,CA,2007-07-01 12:00:00 -0400,15000000,USD,c
zazzle,Zazzle,,web,Redwood City,CA,2005-07-01 12:00:00 -0400,16000000,USD,a
zazzle,Zazzle,,web,Redwood City,CA,2007-10-01 12:00:00 -0400,30000000,USD,b
dogster,Dogster,,web,San Francisco,CA,2006-09-01 12:00:00 -0400,1000000,USD,angel
pandora,Pandora,80,web,Oakland,CA,2004-01-01 12:00:00 -0500,7800000,USD,b
pandora,Pandora,80,web,Oakland,CA,2005-10-01 12:00:00 -0400,12000000,USD,c
pandora,Pandora,80,web,Oakland,CA,"",1500000,USD,a
cafepress,Cafepress,300,web,Foster City,CA,"",1200000,USD,a
cafepress,Cafepress,300,web,Foster City,CA,2001-05-01 12:00:00 -0400,300000,USD,a
cafepress,Cafepress,300,web,Foster City,CA,2005-02-01 12:00:00 -0500,14000000,USD,b
pbwiki,pbwiki,15,web,,CA,2006-09-11 12:00:00 -0400,350000,USD,a
pbwiki,pbwiki,15,web,,CA,2007-02-01 12:00:00 -0500,2100000,USD,b
adbrite,AdBrite,,web,San Francisco,CA,2004-09-01 12:00:00 -0400,4000000,USD,a
adbrite,AdBrite,,web,San Francisco,CA,2006-02-01 12:00:00 -0500,8000000,USD,b
adbrite,AdBrite,,web,San Francisco,CA,2007-11-01 12:00:00 -0400,23000000,USD,c
loomia,Loomia,,web,San Francisco,CA,2005-06-01 12:00:00 -0400,1000000,USD,seed
loomia,Loomia,,web,San Francisco,CA,2008-04-01 12:00:00 -0400,5000000,USD,a
meebo,Meebo,40,web,Mountain View,CA,2005-12-01 12:00:00 -0500,3500000,USD,a
meebo,Meebo,40,web,Mountain View,CA,2007-01-01 12:00:00 -0500,9000000,USD,b
meebo,Meebo,40,web,Mountain View,CA,2008-04-30 12:00:00 -0400,25000000,USD,c
eventbrite,Eventbrite,13,web,San Francisco,CA,2006-11-01 12:00:00 -0500,100000,USD,angel
linkedin,LinkedIn,,web,Mountain View,CA,2003-11-01 12:00:00 -0500,4700000,USD,a
linkedin,LinkedIn,,web,Mountain View,CA,2004-10-01 12:00:00 -0400,10000000,USD,b
linkedin,LinkedIn,,web,Mountain View,CA,2007-01-01 12:00:00 -0500,12800000,USD,c
linkedin,LinkedIn,,web,Mountain View,CA,2008-06-17 12:00:00 -0400,53000000,USD,d
flickim,FlickIM,,web,Berkeley,CA,2007-03-01 12:00:00 -0500,1600000,USD,a
terabitz,Terabitz,12,web,Palo Alto,CA,2007-02-01 12:00:00 -0500,10000000,USD,a
healthline,Healthline,,web,San Francisco,CA,2006-01-01 12:00:00 -0500,14000000,USD,a
healthline,Healthline,,web,San Francisco,CA,2007-07-01 12:00:00 -0400,21000000,USD,b
box-net,Box.net,19,web,Palo Alto,CA,2006-10-01 12:00:00 -0400,1500000,USD,a
box-net,Box.net,19,web,Palo Alto,CA,2008-01-23 12:00:00 -0500,6000000,USD,b
conduit,Conduit,,web,Redwood Shores,CA,2006-07-01 12:00:00 -0400,1800000,USD,a
conduit,Conduit,,web,Redwood Shores,CA,2008-01-01 12:00:00 -0500,8000000,USD,b
edgeio,Edgeio,,web,Palo Alto,CA,2007-07-01 12:00:00 -0400,5000000,USD,a
spotrunner,Spot Runner,,web,Los Angeles,CA,2006-01-01 12:00:00 -0500,10000000,USD,a
spotrunner,Spot Runner,,web,Los Angeles,CA,2006-10-01 12:00:00 -0400,40000000,USD,b
spotrunner,Spot Runner,,web,Los Angeles,CA,2008-05-07 12:00:00 -0400,51000000,USD,c
kaboodle,Kaboodle,,web,Santa Clara,CA,2005-03-01 12:00:00 -0500,1500000,USD,a
kaboodle,Kaboodle,,web,Santa Clara,CA,2006-03-01 12:00:00 -0500,2000000,USD,b
kaboodle,Kaboodle,,web,Santa Clara,CA,2007-03-01 12:00:00 -0500,1500000,USD,c
giga-omni-media,Giga Omni Media,18,web,San Francisco,CA,2006-06-01 12:00:00 -0400,325000,USD,a
visiblepath,Visible Path,,web,Foster City,CA,2006-03-01 12:00:00 -0500,17000000,USD,b
visiblepath,Visible Path,,web,Foster City,CA,2006-03-01 12:00:00 -0500,7700000,USD,a
wink,Wink,,web,Mountain View,CA,2005-01-01 12:00:00 -0500,6200000,USD,a
seesmic,seesmic,,web,San Francisco,CA,2007-11-01 12:00:00 -0400,6000000,USD,a
seesmic,seesmic,,web,San Francisco,CA,2008-06-20 12:00:00 -0400,6000000,USD,b
zvents,Zvents,,web,San Mateo,CA,2006-11-07 12:00:00 -0500,7000000,USD,a
zvents,Zvents,,web,San Mateo,CA,2005-10-05 12:00:00 -0400,200000,USD,seed
eventful,Eventful,35,web,San Diego,CA,2006-09-01 12:00:00 -0400,7500000,USD,b
eventful,Eventful,35,web,San Diego,CA,2005-03-01 12:00:00 -0500,2100000,USD,a
oodle,Oodle,,web,San Mateo,CA,2006-05-01 12:00:00 -0400,5000000,USD,a
oodle,Oodle,,web,San Mateo,CA,2007-07-01 12:00:00 -0400,11000000,USD,b
odesk,oDesk,,web,Menlo Park,CA,2006-04-01 12:00:00 -0500,6000000,USD,a
odesk,oDesk,,web,Menlo Park,CA,2006-09-01 12:00:00 -0400,8000000,USD,b
odesk,oDesk,,web,Menlo Park,CA,2008-06-01 12:00:00 -0400,15000000,USD,c
simplyhired,SimplyHired,,web,Mountain View,CA,2006-03-01 12:00:00 -0500,13500000,USD,b
simplyhired,SimplyHired,,web,Mountain View,CA,2005-08-05 12:00:00 -0400,3000000,USD,a
ooma,ooma,47,web,Palo Alto,CA,2005-01-01 12:00:00 -0500,8000000,USD,a
ooma,ooma,47,web,Palo Alto,CA,2006-12-01 12:00:00 -0500,18000000,USD,b
goingon,GoingOn,3,web,Woodside,CA,2005-08-01 12:00:00 -0400,1000000,USD,seed
flixster,Flixster,17,web,San Francisco,CA,2007-02-01 12:00:00 -0500,2000000,USD,a
flixster,Flixster,17,web,San Francisco,CA,2008-04-04 12:00:00 -0400,5000000,USD,b
piczo,Piczo,,web,San Francisco,CA,2007-01-01 12:00:00 -0500,11000000,USD,c
socialtext,Socialtext,,web,Palo Alto,CA,2004-06-01 12:00:00 -0400,300000,USD,angel
socialtext,Socialtext,,web,Palo Alto,CA,2005-06-01 12:00:00 -0400,3100000,USD,b
socialtext,Socialtext,,web,Palo Alto,CA,2007-11-01 12:00:00 -0400,9500000,USD,c
powerreviews,PowerReview,,web,Millbrae,CA,2005-12-01 12:00:00 -0500,6250000,USD,a
powerreviews,PowerReview,,web,Millbrae,CA,2007-09-01 12:00:00 -0400,15000000,USD,b
hi5,hi5,100,web,San Francisco,CA,2007-07-01 12:00:00 -0400,20000000,USD,a
hi5,hi5,100,web,San Francisco,CA,2007-12-01 12:00:00 -0500,15000000,USD,debt_round
tagged,Tagged,,web,San Francisco,CA,2005-09-01 12:00:00 -0400,1500000,USD,angel
tagged,Tagged,,web,San Francisco,CA,2005-12-01 12:00:00 -0500,7000000,USD,a
tagged,Tagged,,web,San Francisco,CA,2007-07-01 12:00:00 -0400,15000000,USD,b
jaxtr,Jaxtr,,web,Menlo Park,CA,2007-07-01 12:00:00 -0400,1500000,USD,angel
jaxtr,Jaxtr,,web,Menlo Park,CA,2007-08-01 12:00:00 -0400,10000000,USD,a
jaxtr,Jaxtr,,web,Menlo Park,CA,2008-06-23 12:00:00 -0400,10000000,USD,b
m,Me,,web,San Jose,CA,2007-05-01 12:00:00 -0400,1500000,USD,seed
intronetworks,introNetworks,9,web,Santa Barbara,CA,2007-05-01 12:00:00 -0400,2700000,USD,a
leveragesoftware,Leverage Software,21,web,San Francisco,CA,2005-05-14 12:00:00 -0400,6000000,USD,a
lithiumtechnologies,Lithium Technologies,42,web,Emeryville,CA,2007-04-17 12:00:00 -0400,9000000,USD,a
lithiumtechnologies,Lithium Technologies,42,web,Emeryville,CA,2008-06-01 12:00:00 -0400,12000000,USD,b
genius,Genius,,web,San Mateo,CA,2006-03-01 12:00:00 -0500,5100000,USD,a
genius,Genius,,web,San Mateo,CA,2007-01-01 12:00:00 -0500,10000000,USD,b
genius,Genius,,web,San Mateo,CA,2008-02-05 12:00:00 -0500,19000000,USD,c
respectance,Respectance,,web,San Francisco,CA,2007-06-01 12:00:00 -0400,250000,USD,seed
respectance,Respectance,,web,San Francisco,CA,2007-07-01 12:00:00 -0400,1500000,USD,a
curse,Curse,,web,San Francisco,CA,2007-07-01 12:00:00 -0400,5000000,USD,a
licketyship,LicketyShip,,web,San Francisco,CA,2007-12-01 12:00:00 -0500,1500000,USD,angel
grockit,Grockit,8,web,San Francisco,CA,2007-06-01 12:00:00 -0400,2300000,USD,a
grockit,Grockit,8,web,San Francisco,CA,2008-05-30 12:00:00 -0400,8000000,USD,b
peerme,PeerMe,,web,Mountain View,CA,2005-01-01 12:00:00 -0500,5000000,USD,a
kiptronic,Kiptronic,20,web,San Francisco,CA,2006-12-01 12:00:00 -0500,4000000,USD,a
kiptronic,Kiptronic,20,web,San Francisco,CA,2005-11-01 12:00:00 -0500,300000,USD,angel
kiptronic,Kiptronic,20,web,San Francisco,CA,2008-06-05 12:00:00 -0400,3000000,USD,b
vuze,Vuze,,web,Palo Alto,CA,2006-12-01 12:00:00 -0500,12000000,USD,b
vuze,Vuze,,web,Palo Alto,CA,2007-12-01 12:00:00 -0500,20000000,USD,c
phonezoo,Phonezoo,,web,Sunnyvale,CA,2006-06-01 12:00:00 -0400,560000,USD,a
phonezoo,Phonezoo,,web,Sunnyvale,CA,2007-02-01 12:00:00 -0500,1500000,USD,a
droplettechnology,Droplet Technology,,web,Menlo Park,CA,2006-10-01 12:00:00 -0400,3500000,USD,a
podtech,PodTech,,web,Palo Alto,CA,2006-03-01 12:00:00 -0500,5500000,USD,a
podtech,PodTech,,web,Palo Alto,CA,2007-06-01 12:00:00 -0400,2000000,USD,a
crackle,Crackle,,web,Mill Valley,CA,2005-12-01 12:00:00 -0500,1750000,USD,a
reddit,Reddit,,web,San Francisco,CA,2005-06-01 12:00:00 -0400,100000,USD,seed
wikia,Wikia,,web,San Mateo,CA,2006-03-01 12:00:00 -0500,4000000,USD,a
wikia,Wikia,,web,San Mateo,CA,2006-12-01 12:00:00 -0500,10000000,USD,b
retrevo,Retrevo,,web,Sunnyvale,CA,2006-12-01 12:00:00 -0500,3200000,USD,a
retrevo,Retrevo,,web,Sunnyvale,CA,2006-02-01 12:00:00 -0500,700000,USD,seed
retrevo,Retrevo,,web,Sunnyvale,CA,2008-03-20 12:00:00 -0400,8000000,USD,b
buxfer,Buxfer,2,web,Mountain View,CA,2007-01-01 12:00:00 -0500,15000,USD,seed
buxfer,Buxfer,2,web,Mountain View,CA,2007-04-01 12:00:00 -0400,300000,USD,angel
yousendit,YouSendIt,0,web,Campbell,CA,2007-04-24 12:00:00 -0400,10000000,USD,b
yousendit,YouSendIt,0,web,Campbell,CA,2005-08-01 12:00:00 -0400,10000000,USD,a
yousendit,YouSendIt,0,web,Campbell,CA,2008-07-15 12:00:00 -0400,14000000,USD,c
tangler,Tangler,,web,Mountain View,CA,2006-07-01 12:00:00 -0400,1500000,USD,angel
obopay,obopay,,web,Redwood City,CA,2006-02-01 12:00:00 -0500,10000000,USD,a
obopay,obopay,,web,Redwood City,CA,2006-09-01 12:00:00 -0400,7000000,USD,b
obopay,obopay,,web,Redwood City,CA,2007-07-01 12:00:00 -0400,29000000,USD,c
obopay,obopay,,web,Redwood City,CA,2008-04-21 12:00:00 -0400,20000000,USD,d
paypal,PayPal,,web,San Jose,CA,"",100000000,USD,c
paypal,PayPal,,web,San Jose,CA,2001-02-01 12:00:00 -0500,90000000,USD,d
paypal,PayPal,,web,San Jose,CA,1999-07-01 12:00:00 -0400,4000000,USD,b
talkplus,TalkPlus,,web,San Mateo,CA,2006-10-01 12:00:00 -0400,5500000,USD,a
vudu,Vudu,50,hardware,Santa Clara,CA,2005-06-01 12:00:00 -0400,21000000,USD,a
insiderpages,Insider Pages,,web,Redwood City,CA,2006-03-01 12:00:00 -0500,8500000,USD,a
snapfish,Snapfish,,web,San Francisco,CA,1999-11-01 12:00:00 -0500,7500000,USD,a
snapfish,Snapfish,,web,San Francisco,CA,"",36000000,USD,b
affinitycircles,Affinity Circles,22,web,Mountain View,CA,2006-05-01 12:00:00 -0400,4100000,USD,c
affinitycircles,Affinity Circles,22,web,Mountain View,CA,2005-06-01 12:00:00 -0400,1000000,USD,b
affinitycircles,Affinity Circles,22,web,Mountain View,CA,2004-12-01 12:00:00 -0500,440000,USD,a
imvu,IMVU,,web,Palo Alto,CA,2006-02-01 12:00:00 -0500,1000000,USD,angel
nirvanix,Nirvanix,,web,San Diego,CA,2007-12-19 12:00:00 -0500,18000000,USD,a
fuzzwich,Habit Industries,4,web,Palo Alto,CA,2007-06-01 12:00:00 -0400,15000,USD,seed
gaia,Gaia,,web,San Jose,CA,2006-06-01 12:00:00 -0400,8930000,USD,a
gaia,Gaia,,web,San Jose,CA,2007-03-01 12:00:00 -0500,12000000,USD,b
gaia,Gaia,,web,San Jose,CA,2008-07-14 12:00:00 -0400,11000000,USD,c
greatcall,GreatCall,,web,Del Mar,CA,2007-08-01 12:00:00 -0400,36600000,USD,a
revver,Revver,,web,Los Angeles,CA,2005-11-01 12:00:00 -0500,4000000,USD,a
revver,Revver,,web,Los Angeles,CA,2006-04-01 12:00:00 -0500,8700000,USD,b
metacafe,Metacafe,,web,Palo Alto,CA,2006-07-01 12:00:00 -0400,15000000,USD,b
metacafe,Metacafe,,web,Palo Alto,CA,2007-08-01 12:00:00 -0400,30000000,USD,c
flock,Flock,40,web,Redwood City,CA,2005-11-01 12:00:00 -0500,3300000,USD,b
flock,Flock,40,web,Redwood City,CA,2006-06-01 12:00:00 -0400,10000000,USD,c
flock,Flock,40,web,Redwood City,CA,2008-05-21 12:00:00 -0400,15000000,USD,d
vmixmedia,VMIX Media,42,web,San Diego,CA,2006-03-01 12:00:00 -0500,5000000,USD,a
vmixmedia,VMIX Media,42,web,San Diego,CA,2007-10-01 12:00:00 -0400,16500000,USD,b
kontera,Kontera,,web,San Francisco,CA,2007-08-01 12:00:00 -0400,10300000,USD,b
kontera,Kontera,,web,San Francisco,CA,2006-07-01 12:00:00 -0400,7000000,USD,a
tokbox,Tokbox,,web,San Francisco,CA,2007-10-01 12:00:00 -0400,4000000,USD,a
tokbox,Tokbox,,web,San Francisco,CA,2008-08-06 12:00:00 -0400,10000000,USD,b
six-apart,Six Apart,150,web,San Francisco,CA,2004-10-01 12:00:00 -0400,10000000,USD,b
six-apart,Six Apart,150,web,San Francisco,CA,2006-03-01 12:00:00 -0500,12000000,USD,c
